state,response,coverage,education,employment_status,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class
Arizona,No,Basic,College,Unemployed,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car
Arizona,No,Extended,College,Disabled,F,Suburban,Single,Personal Auto,Offer1,Branch,Four-Door Car
Oregon,No,Basic,High School or Below,Disabled,F,Suburban,Divorced,Personal Auto,Offer4,Web,Four-Door Car
Oregon,No,Extended,Master,Employed,M,Urban,Married,Personal Auto,Offer2,Branch,Four-Door Car
Arizona,Yes,Basic,High School or Below,Employed,F,Rural,Single,Corporate Auto,Offer2,Agent,Four-Door Car
Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Corporate Auto,Offer2,Agent,Luxury Car
California,No,Basic,Doctor,Employed,F,Rural,Married,Corporate Auto,Offer1,Agent,Four-Door Car
California,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car
California,Yes,Basic,High School or Below,Retired,F,Suburban,Divorced,Corporate Auto,Offer1,Branch,Four-Door Car
Arizona,No,Basic,Bachelor,Employed,F,Rural,Divorced,Personal Auto,Offer1,Call Center,SUV
Arizona,Yes,Premium,Master,Employed,M,Rural,Married,Personal Auto,Offer1,Agent,Two-Door Car
California,No,Premium,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Agent,Sports Car
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer3,Agent,Luxury Car
California,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car
Oregon,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer1,Agent,SUV
California,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Offer1,Branch,Two-Door Car
California,No,Basic,College,Disabled,M,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car
Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Web,Four-Door Car
Washington,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Branch,Four-Door Car
Arizona,No,Basic,Bachelor,Unemployed,M,Urban,Divorced,Personal Auto,Offer1,Branch,Four-Door Car
Arizona,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Offer1,Call Center,SUV
Nevada,No,Premium,Bachelor,Employed,M,Suburban,Single,Personal Auto,Offer3,Agent,Four-Door Car
California,No,Premium,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,Luxury Car
California,No,Extended,High School or Below,Employed,M,Rural,Married,Personal Auto,Offer3,Agent,Two-Door Car
Arizona,No,Basic,Master,Employed,M,Urban,Married,Personal Auto,Offer1,Branch,Four-Door Car
Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer3,Branch,Luxury Car
Arizona,No,Basic,College,Employed,M,Suburban,Married,Corporate Auto,Offer4,Agent,Four-Door Car
Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Corporate Auto,Offer2,Branch,Two-Door Car
Oregon,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer1,Agent,SUV
California,No,Extended,Bachelor,Employed,M,Suburban,Divorced,Corporate Auto,Offer2,Web,Four-Door Car
Arizona,Yes,Basic,College,Retired,F,Suburban,Divorced,Personal Auto,Offer1,Agent,SUV
California,Yes,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car
Oregon,No,Extended,Bachelor,Unemployed,M,Rural,Married,Personal Auto,Offer1,Branch,Two-Door Car
Arizona,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Branch,Four-Door Car
Nevada,No,Premium,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Offer2,Call Center,Four-Door Car
Oregon,No,Extended,High School or Below,Employed,M,Urban,Married,Personal Auto,Offer2,Web,Two-Door Car
Washington,No,Extended,College,Unemployed,M,Suburban,Single,Personal Auto,Offer3,Branch,Four-Door Car
Oregon,No,Basic,Doctor,Employed,F,Urban,Married,Personal Auto,Offer2,Call Center,Four-Door Car
California,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Offer3,Branch,SUV
Oregon,Yes,Extended,High School or Below,Employed,M,Rural,Divorced,Special Auto,Offer1,Agent,Four-Door Car
California,No,Basic,College,Unemployed,F,Suburban,Single,Corporate Auto,Offer1,Agent,Two-Door Car
Washington,No,Basic,Master,Employed,F,Urban,Married,Personal Auto,Offer4,Branch,SUV
Arizona,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Offer2,Call Center,SUV
Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Call Center,SUV
Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,SUV
Oregon,No,Basic,College,Employed,F,Urban,Single,Personal Auto,Offer1,Web,SUV
Nevada,No,Basic,Bachelor,Employed,M,Suburban,Divorced,Corporate Auto,Offer1,Call Center,Two-Door Car
Oregon,Yes,Extended,Doctor,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,SUV
Arizona,No,Basic,High School or Below,Employed,F,Urban,Divorced,Corporate Auto,Offer2,Agent,SUV
California,No,Extended,College,Employed,M,Suburban,Married,Corporate Auto,Offer1,Web,Four-Door Car
Arizona,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Call Center,Four-Door Car
Washington,No,Premium,Doctor,Employed,F,Urban,Married,Personal Auto,Offer2,Web,Four-Door Car
Oregon,No,Extended,Bachelor,Employed,M,Urban,Married,Personal Auto,Offer1,Agent,SUV
Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Agent,Four-Door Car
California,No,Premium,Bachelor,Employed,F,Rural,Divorced,Personal Auto,Offer2,Agent,Four-Door Car
Arizona,No,Basic,Bachelor,Employed,M,Urban,Single,Personal Auto,Offer1,Agent,Two-Door Car
Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car
Arizona,No,Basic,High School or Below,Employed,F,Urban,Single,Corporate Auto,Offer1,Call Center,SUV
Oregon,No,Extended,College,Employed,M,Suburban,Divorced,Personal Auto,Offer2,Branch,Four-Door Car
Nevada,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Offer2,Branch,Two-Door Car
Nevada,No,Extended,College,Employed,F,Suburban,Married,Corporate Auto,Offer3,Branch,Four-Door Car
California,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,SUV
Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Offer4,Agent,Luxury SUV
Oregon,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Offer3,Branch,Two-Door Car
Oregon,No,Basic,College,Unemployed,M,Suburban,Married,Personal Auto,Offer2,Web,Four-Door Car
Oregon,Yes,Premium,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car
Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Call Center,Four-Door Car
Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Offer2,Agent,SUV
Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer4,Web,Four-Door Car
Nevada,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Branch,Two-Door Car
Nevada,No,Basic,College,Employed,M,Suburban,Married,Corporate Auto,Offer4,Call Center,Luxury Car
California,No,Premium,Bachelor,Retired,M,Suburban,Divorced,Personal Auto,Offer4,Call Center,Four-Door Car
Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer4,Branch,Four-Door Car
California,No,Extended,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Offer4,Web,Four-Door Car
Arizona,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer2,Agent,SUV
Arizona,No,Basic,Bachelor,Unemployed,F,Rural,Married,Corporate Auto,Offer1,Agent,Sports Car
Washington,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer1,Branch,Four-Door Car
Oregon,No,Extended,Doctor,Employed,F,Rural,Single,Personal Auto,Offer1,Web,Four-Door Car
Arizona,No,Basic,Master,Unemployed,F,Suburban,Married,Personal Auto,Offer3,Web,SUV
Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer1,Branch,Sports Car
Nevada,No,Extended,Doctor,Unemployed,M,Rural,Single,Corporate Auto,Offer1,Web,Four-Door Car
California,No,Basic,Doctor,Employed,F,Rural,Divorced,Personal Auto,Offer2,Call Center,SUV
California,No,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Offer1,Branch,Four-Door Car
Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Call Center,Sports Car
Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Two-Door Car
California,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Web,Four-Door Car
Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer4,Agent,Two-Door Car
Washington,No,Basic,Bachelor,Employed,F,Urban,Single,Corporate Auto,Offer1,Branch,Two-Door Car
Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Corporate Auto,Offer2,Branch,Four-Door Car
California,No,Extended,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer2,Agent,SUV
Washington,Yes,Basic,College,Employed,M,Suburban,Divorced,Special Auto,Offer1,Agent,Two-Door Car
Nevada,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,Offer1,Web,SUV
Nevada,No,Premium,College,Unemployed,M,Suburban,Single,Corporate Auto,Offer1,Agent,SUV
Oregon,Yes,Basic,College,Employed,M,Urban,Single,Personal Auto,Offer2,Agent,Two-Door Car
California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Special Auto,Offer1,Branch,Two-Door Car
Oregon,No,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Offer1,Branch,Four-Door Car
California,No,Basic,College,Unemployed,M,Suburban,Single,Corporate Auto,Offer1,Branch,Luxury Car
Washington,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer4,Branch,Two-Door Car
Oregon,No,Extended,College,Employed,F,Suburban,Married,Personal Auto,Offer3,Call Center,Four-Door Car
Arizona,Yes,Basic,College,Retired,M,Suburban,Married,Special Auto,Offer2,Agent,Two-Door Car
California,No,Extended,Doctor,Unemployed,M,Suburban,Divorced,Corporate Auto,Offer4,Web,Four-Door Car
Oregon,No,Extended,High School or Below,Employed,M,Rural,Married,Personal Auto,Offer4,Branch,Four-Door Car
Arizona,No,Basic,College,Employed,F,Urban,Divorced,Personal Auto,Offer2,Web,Four-Door Car
Oregon,No,Premium,Bachelor,Medical Leave,F,Suburban,Married,Corporate Auto,Offer1,Agent,Four-Door Car
Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car
California,Yes,Basic,Bachelor,Employed,F,Urban,Divorced,Personal Auto,Offer2,Web,Two-Door Car
Oregon,No,Premium,College,Unemployed,M,Suburban,Married,Personal Auto,Offer2,Branch,SUV
Nevada,No,Basic,Master,Employed,F,Suburban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car
Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Personal Auto,Offer1,Agent,SUV
California,No,Premium,College,Employed,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car
Washington,No,Premium,Doctor,Unemployed,F,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car
Arizona,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car
Arizona,No,Basic,Master,Employed,F,Rural,Divorced,Personal Auto,Offer1,Agent,Four-Door Car
Oregon,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Call Center,Four-Door Car
Arizona,Yes,Extended,College,Employed,F,Rural,Divorced,Personal Auto,Offer2,Agent,Four-Door Car
Nevada,No,Basic,Master,Employed,M,Suburban,Married,Corporate Auto,Offer4,Call Center,Sports Car
Arizona,No,Basic,College,Unemployed,M,Suburban,Married,Personal Auto,Offer1,Web,Four-Door Car
Nevada,No,Basic,College,Employed,F,Urban,Divorced,Personal Auto,Offer3,Agent,Four-Door Car
Washington,No,Basic,College,Employed,M,Suburban,Divorced,Personal Auto,Offer3,Agent,Four-Door Car
Arizona,No,Premium,College,Employed,F,Suburban,Married,Corporate Auto,Offer4,Web,SUV
California,No,Basic,Bachelor,Employed,F,Rural,Single,Personal Auto,Offer2,Agent,Four-Door Car
Washington,No,Premium,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car
Oregon,No,Premium,High School or Below,Employed,M,Urban,Married,Corporate Auto,Offer4,Web,Four-Door Car
California,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Offer1,Branch,Four-Door Car
Nevada,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Offer3,Web,Four-Door Car
Washington,Yes,Basic,High School or Below,Medical Leave,F,Suburban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car
Oregon,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Offer3,Agent,Four-Door Car
Oregon,No,Basic,College,Employed,F,Urban,Divorced,Personal Auto,Offer3,Agent,SUV
Oregon,No,Basic,Bachelor,Employed,M,Urban,Married,Corporate Auto,Offer2,Agent,Four-Door Car
Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer2,Agent,Four-Door Car
Washington,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,Offer1,Branch,Four-Door Car
California,Yes,Premium,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car
Arizona,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer3,Agent,Four-Door Car
Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Web,Two-Door Car
California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer3,Branch,Two-Door Car
Oregon,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer3,Agent,Two-Door Car
Oregon,No,Basic,Master,Employed,F,Urban,Married,Corporate Auto,Offer1,Web,Sports Car
California,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Web,Four-Door Car
Washington,No,Extended,Master,Employed,F,Urban,Divorced,Personal Auto,Offer2,Agent,Two-Door Car
California,No,Extended,College,Unemployed,F,Suburban,Married,Corporate Auto,Offer1,Agent,Four-Door Car
California,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Sports Car
Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Sports Car
Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer2,Agent,Four-Door Car
Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Agent,Four-Door Car
California,No,Basic,College,Unemployed,F,Suburban,Married,Corporate Auto,Offer3,Agent,Four-Door Car
Washington,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer2,Agent,Four-Door Car
Washington,No,Extended,Bachelor,Employed,M,Urban,Married,Personal Auto,Offer4,Agent,Four-Door Car
Oregon,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,Offer1,Agent,SUV
California,No,Extended,Bachelor,Medical Leave,F,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car
California,Yes,Basic,College,Employed,M,Urban,Married,Personal Auto,Offer2,Agent,Sports Car
Oregon,Yes,Basic,College,Medical Leave,M,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car
Arizona,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,Offer2,Agent,Four-Door Car
Arizona,No,Extended,College,Employed,F,Rural,Divorced,Personal Auto,Offer1,Agent,Sports Car
Nevada,Yes,Extended,High School or Below,Employed,F,Suburban,Married,Corporate Auto,Offer2,Agent,Two-Door Car
California,No,Extended,Master,Employed,M,Rural,Married,Personal Auto,Offer4,Call Center,Four-Door Car
Washington,No,Basic,College,Employed,F,Rural,Divorced,Personal Auto,Offer3,Branch,Four-Door Car
Washington,No,Basic,Master,Employed,F,Rural,Married,Personal Auto,Offer4,Call Center,Four-Door Car
California,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer2,Call Center,Luxury SUV
Oregon,Yes,Basic,Master,Employed,M,Suburban,Married,Corporate Auto,Offer3,Web,Two-Door Car
Nevada,No,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Offer1,Branch,Four-Door Car
Oregon,No,Basic,Master,Retired,F,Suburban,Single,Personal Auto,Offer3,Branch,Sports Car
California,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Offer4,Call Center,Four-Door Car
Nevada,No,Extended,College,Employed,M,Urban,Married,Corporate Auto,Offer2,Web,Four-Door Car
Nevada,No,Basic,Master,Employed,M,Rural,Married,Personal Auto,Offer3,Call Center,Four-Door Car
Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Offer2,Call Center,Four-Door Car
California,No,Premium,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Offer3,Branch,Four-Door Car
Oregon,No,Basic,High School or Below,Employed,M,Rural,Divorced,Corporate Auto,Offer1,Agent,Four-Door Car
Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer3,Call Center,Two-Door Car
California,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Offer2,Web,Four-Door Car
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Offer2,Agent,Two-Door Car
Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer3,Agent,Four-Door Car
Oregon,Yes,Extended,College,Employed,F,Urban,Married,Corporate Auto,Offer2,Branch,Four-Door Car
Arizona,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Offer1,Call Center,Four-Door Car
Washington,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Offer3,Web,Four-Door Car
Arizona,No,Basic,Master,Employed,M,Urban,Married,Personal Auto,Offer2,Call Center,Two-Door Car
California,No,Basic,Bachelor,Unemployed,M,Suburban,Divorced,Personal Auto,Offer1,Call Center,Four-Door Car
California,No,Basic,Master,Employed,F,Suburban,Married,Personal Auto,Offer1,Web,Sports Car
California,No,Extended,College,Unemployed,F,Suburban,Single,Corporate Auto,Offer1,Agent,Two-Door Car
Nevada,No,Extended,Bachelor,Employed,F,Suburban,Divorced,Special Auto,Offer1,Branch,Four-Door Car
California,Yes,Premium,High School or Below,Employed,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car
California,No,Basic,High School or Below,Employed,F,Suburban,Married,Corporate Auto,Offer3,Branch,Four-Door Car
Oregon,Yes,Basic,High School or Below,Disabled,F,Suburban,Married,Personal Auto,Offer2,Agent,SUV
Nevada,No,Extended,College,Unemployed,F,Rural,Married,Personal Auto,Offer1,Agent,Two-Door Car
California,No,Basic,High School or Below,Employed,M,Suburban,Single,Corporate Auto,Offer2,Branch,SUV
Arizona,No,Basic,High School or Below,Disabled,F,Suburban,Married,Personal Auto,Offer1,Branch,Luxury Car
Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car
Nevada,No,Extended,College,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Branch,Four-Door Car
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer4,Web,Four-Door Car
Oregon,No,Basic,High School or Below,Disabled,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car
Arizona,No,Premium,Bachelor,Employed,M,Rural,Married,Personal Auto,Offer1,Web,Four-Door Car
Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Special Auto,Offer2,Branch,Four-Door Car
Nevada,No,Extended,Master,Employed,F,Urban,Married,Corporate Auto,Offer3,Agent,SUV
Arizona,Yes,Basic,Master,Employed,F,Rural,Single,Personal Auto,Offer2,Web,Four-Door Car
California,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer2,Agent,Two-Door Car
Oregon,No,Extended,College,Employed,M,Urban,Single,Personal Auto,Offer2,Agent,Two-Door Car
Arizona,No,Premium,College,Employed,M,Rural,Married,Personal Auto,Offer1,Agent,Four-Door Car
California,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Offer4,Agent,Four-Door Car
Oregon,No,Basic,College,Employed,M,Rural,Married,Personal Auto,Offer3,Agent,Four-Door Car
Washington,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car
California,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,SUV
Washington,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,Offer2,Agent,Two-Door Car
Oregon,No,Basic,College,Employed,F,Rural,Single,Personal Auto,Offer3,Call Center,Four-Door Car
Oregon,No,Extended,College,Employed,F,Rural,Married,Personal Auto,Offer1,Web,Two-Door Car
Arizona,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car
Nevada,No,Basic,College,Employed,M,Rural,Married,Personal Auto,Offer4,Call Center,SUV
Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer3,Agent,SUV
Oregon,No,Basic,College,Medical Leave,M,Suburban,Single,Personal Auto,Offer1,Branch,Two-Door Car
Arizona,Yes,Extended,Bachelor,Retired,F,Suburban,Divorced,Personal Auto,Offer2,Call Center,Four-Door Car
California,Yes,Basic,Doctor,Disabled,F,Suburban,Divorced,Personal Auto,Offer2,Branch,Two-Door Car
Arizona,No,Extended,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Offer1,Branch,Four-Door Car
Oregon,No,Basic,College,Employed,F,Urban,Married,Corporate Auto,Offer1,Agent,SUV
California,No,Basic,Bachelor,Disabled,M,Suburban,Single,Corporate Auto,Offer1,Call Center,SUV
California,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car
Oregon,No,Basic,College,Employed,F,Rural,Married,Corporate Auto,Offer1,Call Center,Two-Door Car
Oregon,Yes,Basic,College,Employed,F,Rural,Married,Personal Auto,Offer1,Agent,SUV
California,No,Basic,College,Employed,F,Rural,Single,Personal Auto,Offer3,Branch,Four-Door Car
Oregon,No,Extended,College,Employed,M,Urban,Married,Personal Auto,Offer1,Agent,Two-Door Car
Oregon,No,Basic,College,Employed,M,Urban,Married,Personal Auto,Offer1,Agent,Four-Door Car
Oregon,No,Basic,College,Employed,M,Rural,Divorced,Personal Auto,Offer4,Web,Four-Door Car
Arizona,No,Extended,Bachelor,Employed,F,Urban,Married,Personal Auto,Offer1,Agent,Four-Door Car
California,No,Basic,Bachelor,Employed,M,Urban,Married,Special Auto,Offer2,Web,Four-Door Car
Arizona,No,Extended,College,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Web,Four-Door Car
Arizona,No,Basic,College,Medical Leave,F,Rural,Divorced,Personal Auto,Offer1,Agent,Two-Door Car
California,No,Extended,College,Employed,F,Suburban,Married,Personal Auto,Offer4,Agent,SUV
Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,Offer4,Agent,Four-Door Car
Arizona,Yes,Premium,Master,Employed,M,Rural,Married,Corporate Auto,Offer1,Agent,Two-Door Car
Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Offer3,Web,Two-Door Car
Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Special Auto,Offer1,Call Center,SUV
California,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Offer2,Agent,Sports Car
California,No,Basic,Bachelor,Medical Leave,F,Urban,Married,Personal Auto,Offer3,Call Center,Four-Door Car
California,No,Basic,High School or Below,Employed,M,Urban,Divorced,Personal Auto,Offer1,Agent,Two-Door Car
California,No,Basic,Bachelor,Disabled,F,Suburban,Married,Personal Auto,Offer1,Call Center,Four-Door Car
Arizona,No,Basic,Bachelor,Employed,F,Urban,Divorced,Personal Auto,Offer3,Call Center,Four-Door Car
Nevada,No,Extended,High School or Below,Disabled,M,Suburban,Married,Personal Auto,Offer2,Branch,SUV
California,No,Extended,College,Employed,F,Rural,Single,Personal Auto,Offer4,Web,Four-Door Car
California,No,Basic,College,Employed,M,Suburban,Divorced,Personal Auto,Offer2,Agent,Four-Door Car
Oregon,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Call Center,Four-Door Car
Arizona,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer4,Call Center,Four-Door Car
Arizona,No,Basic,College,Medical Leave,M,Rural,Married,Corporate Auto,Offer2,Web,SUV
Oregon,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Offer1,Call Center,Luxury Car
Nevada,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Offer2,Call Center,Four-Door Car
Arizona,No,Basic,Bachelor,Disabled,M,Suburban,Married,Corporate Auto,Offer1,Web,Two-Door Car
Oregon,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Offer2,Branch,Two-Door Car
Arizona,No,Extended,College,Unemployed,M,Suburban,Married,Personal Auto,Offer1,Branch,Two-Door Car
California,Yes,Basic,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,Offer2,Call Center,Four-Door Car
Nevada,Yes,Basic,College,Employed,F,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car
Oregon,No,Basic,College,Disabled,M,Urban,Married,Corporate Auto,Offer2,Call Center,SUV
Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Web,Four-Door Car
Arizona,No,Basic,High School or Below,Medical Leave,M,Suburban,Married,Corporate Auto,Offer2,Agent,Four-Door Car
Nevada,No,Extended,College,Employed,M,Rural,Single,Corporate Auto,Offer3,Web,Sports Car
California,No,Extended,College,Employed,M,Suburban,Single,Special Auto,Offer4,Web,Four-Door Car
California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer4,Web,Two-Door Car
California,No,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Personal Auto,Offer3,Branch,Four-Door Car
Nevada,No,Basic,High School or Below,Disabled,M,Suburban,Divorced,Personal Auto,Offer1,Call Center,Four-Door Car
Washington,Yes,Extended,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer1,Branch,SUV
Oregon,No,Basic,College,Employed,M,Urban,Divorced,Personal Auto,Offer1,Web,SUV
Oregon,No,Basic,Doctor,Employed,M,Suburban,Single,Personal Auto,Offer2,Branch,Four-Door Car
Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car
Oregon,No,Basic,Bachelor,Disabled,F,Urban,Married,Corporate Auto,Offer1,Branch,Four-Door Car
California,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car
Nevada,No,Basic,College,Employed,F,Suburban,Divorced,Personal Auto,Offer1,Branch,Four-Door Car
Oregon,No,Extended,College,Employed,F,Urban,Divorced,Personal Auto,Offer4,Web,Four-Door Car
California,No,Extended,College,Employed,F,Rural,Married,Personal Auto,Offer1,Web,SUV
California,No,Extended,Bachelor,Retired,F,Suburban,Divorced,Personal Auto,Offer1,Agent,SUV
